"month","UF","admissions","dismissals","source"
"2008-08","AP",2406,2022,"CAGED (legacy file)"
"2008-08","BA",54056,49263,"CAGED (legacy file)"
"2008-08","CE",33610,23663,"CAGED (legacy file)"
"2008-08","DF",23931,19665,"CAGED (legacy file)"
"2008-08","ES",33905,30385,"CAGED (legacy file)"
"2008-08","GO",47146,40184,"CAGED (legacy file)"
"2008-08","MA",14665,9850,"CAGED (legacy file)"
"2008-08","MG",186165,166395,"CAGED (legacy file)"
"2008-08","MS",20391,18829,"CAGED (legacy file)"
"2008-08","MT",28981,26010,"CAGED (legacy file)"
"2008-08","PA",27784,21845,"CAGED (legacy file)"
"2008-08","PB",15309,7118,"CAGED (legacy file)"
"2008-08","PE",39525,26158,"CAGED (legacy file)"
"2008-08","PI",7312,5194,"CAGED (legacy file)"
"2008-08","PR",107904,93209,"CAGED (legacy file)"
"2008-08","RJ",117877,100312,"CAGED (legacy file)"
"2008-08","RN",19318,12158,"CAGED (legacy file)"
"2008-08","RO",8796,7434,"CAGED (legacy file)"
"2008-08","RR",992,1064,"CAGED (legacy file)"
"2008-08","RS",95235,90421,"CAGED (legacy file)"
"2008-08","SC",82162,70011,"CAGED (legacy file)"
"2008-08","SE",8243,5829,"CAGED (legacy file)"
"2008-08","SP",474672,391079,"CAGED (legacy file)"
"2008-08","TO",5048,4697,"CAGED (legacy file)"
"2008-09","AC",1881,1661,"CAGED"
"2008-09","AL",42971,6219,"CAGED"
"2008-09","AM",19371,15294,"CAGED"
"2008-09","AP",2073,1785,"CAGED"
"2008-09","BA",54895,49582,"CAGED"
"2008-09","CE",31616,24020,"CAGED"
"2008-09","DF",21459,18584,"CAGED"
"2008-09","ES",32558,27344,"CAGED"
"2008-09","GO",48059,41976,"CAGED"
"2008-09","MA",13199,9034,"CAGED"
"2008-09","MG",190698,178658,"CAGED"
"2008-09","MS",20592,18406,"CAGED"
"2008-09","MT",30613,27217,"CAGED"
"2008-09","PA",26178,22634,"CAGED"
"2008-09","PB",10154,6587,"CAGED"
"2008-09","PE",64531,26389,"CAGED"
"2008-09","PI",7181,5063,"CAGED"
"2008-09","PR",113657,96253,"CAGED"
"2008-09","RJ",123318,100874,"CAGED"
"2008-09","RN",15743,11150,"CAGED"
"2008-09","RO",8871,7405,"CAGED"
"2008-09","RR",1161,1115,"CAGED"
"2008-09","RS",97900,87360,"CAGED"
"2008-09","SC",82778,70404,"CAGED"
"2008-09","SE",9387,5822,"CAGED"
"2008-09","SP",477837,405569,"CAGED"
"2008-09","TO",5890,5325,"CAGED"
"2008-10","AC",1925,1944,"CAGED"
"2008-10","AL",14744,8356,"CAGED"
"2008-10","AM",17394,17847,"CAGED"
"2008-10","AP",2224,1700,"CAGED"
"2008-10","BA",53716,60162,"CAGED"
"2008-10","CE",31519,27219,"CAGED"
"2008-10","DF",21744,20575,"CAGED"
"2008-10","ES",31274,30129,"CAGED"
"2008-10","GO",47379,49717,"CAGED"
"2008-10","MA",13524,12706,"CAGED"
"2008-10","MG",172816,202254,"CAGED"
"2008-10","MS",21490,20085,"CAGED"
"2008-10","MT",29084,29334,"CAGED"
"2008-10","PA",24824,24641,"CAGED"
"2008-10","PB",8273,6627,"CAGED"
"2008-10","PE",38734,33789,"CAGED"
"2008-10","PI",6904,5120,"CAGED"
"2008-10","PR",111010,105009,"CAGED"
"2008-10","RJ",121348,107108,"CAGED"
"2008-10","RN",13969,12545,"CAGED"
"2008-10","RO",9397,8785,"CAGED"
"2008-10","RR",1477,1211,"CAGED"
"2008-10","RS",102617,93744,"CAGED"
"2008-10","SC",85783,76807,"CAGED"
"2008-10","SE",8635,6591,"CAGED"
"2008-10","SP",454158,419805,"CAGED"
"2008-10","TO",5243,5994,"CAGED"
"2008-11","AC",1584,1924,"CAGED"
"2008-11","AL",6906,7673,"CAGED"
"2008-11","AM",12666,16862,"CAGED"
"2008-11","AP",1838,1457,"CAGED"
"2008-11","BA",48859,49212,"CAGED"
"2008-11","CE",31608,27363,"CAGED"
"2008-11","DF",22108,21202,"CAGED"
"2008-11","ES",29068,30207,"CAGED"
"2008-11","GO",40605,46843,"CAGED"
"2008-11","MA",12545,13464,"CAGED"
"2008-11","MG",148096,182017,"CAGED"
"2008-11","MS",17990,19679,"CAGED"
"2008-11","MT",22046,30071,"CAGED"
"2008-11","PA",21411,23310,"CAGED"
"2008-11","PB",8204,6757,"CAGED"
"2008-11","PE",34826,32024,"CAGED"
"2008-11","PI",6972,6792,"CAGED"
"2008-11","PR",93675,93847,"CAGED"
"2008-11","RJ",117924,100377,"CAGED"
"2008-11","RN",12710,12828,"CAGED"
"2008-11","RO",8234,7855,"CAGED"
"2008-11","RR",1230,960,"CAGED"
"2008-11","RS",95509,87473,"CAGED"
"2008-11","SC",72172,68325,"CAGED"
